service_id,date,exception_type
BSP22GEN-B083-Weekday-00_C41,20220704,2
BSP22GEN-B083-Weekday-00_C41,20220715,2
BSP22GEN-B083-Weekday-00_C41,20220718,2
BSP22GEN-B083-Weekday-00_C41,20220719,2
BSP22GEN-B083-Weekday-00_C41,20220720,2
BSP22GEN-B083-Weekday-00_C41,20220721,2
BSP22GEN-B083-Weekday-00_C41,20220722,2
BSP22GEN-B083-Weekday-00_C41,20220905,2
BSP22GEN-B083-Weekday-00_C41,20221124,2
BSP22GEN-C025-Saturday-00_C37,20220704,1
BSP22GEN-C025-Saturday-00_C37,20220716,2
BSP22GEN-C025-Saturday-00_C37,20220723,2
BSP22GEN-C027-Sunday-00_C7,20220717,2
BSP22GEN-C027-Sunday-00_C7,20220905,1
BSP22GEN-C027-Sunday-00_C7,20221124,1
BSP22GEN-C054-Weekday-00_C8,20220704,2
BSP22GEN-C054-Weekday-00_C8,20220715,2
BSP22GEN-C054-Weekday-00_C8,20220718,2
BSP22GEN-C054-Weekday-00_C8,20220719,2
BSP22GEN-C054-Weekday-00_C8,20220720,2
BSP22GEN-C054-Weekday-00_C8,20220721,2
BSP22GEN-C054-Weekday-00_C8,20220722,2
BSP22GEN-C054-Weekday-00_C8,20220905,2
BSP22GEN-C054-Weekday-00_C8,20221124,2
BSP22GEN-D039-Saturday-00_C39,20220704,1
BSP22GEN-D039-Saturday-00_C39,20220716,2
BSP22GEN-D039-Saturday-00_C39,20220723,2
BSP22GEN-D042-Sunday-00_C63,20220717,2
BSP22GEN-D042-Sunday-00_C63,20220905,1
BSP22GEN-D042-Sunday-00_C63,20221124,1
BSP22GEN-D079-Weekday-00_C56,20220704,2
BSP22GEN-D079-Weekday-00_C56,20220715,2
BSP22GEN-D079-Weekday-00_C56,20220718,2
BSP22GEN-D079-Weekday-00_C56,20220719,2
BSP22GEN-D079-Weekday-00_C56,20220720,2
BSP22GEN-D079-Weekday-00_C56,20220721,2
BSP22GEN-D079-Weekday-00_C56,20220722,2
BSP22GEN-D079-Weekday-00_C56,20220905,2
BSP22GEN-D079-Weekday-00_C56,20221124,2
BSP22GEN-E041-Saturday-00_C59,20220704,1
